textbox1,textbox3,textbox4,textbox5,textbox6,textbox55,textbox7,textbox56,textbox8,textbox9
"MARKTGEGEVENS ELEKTRICITEIT 2015: MARKTAANDELEN ACTIEVE LEVERANCIERS,""Sinds 2004 bevraagt de VREG maandelijks de netbeheerders met betrekking tot het aantal toegangspunten per leverancier. Gegevens met betrekking tot de geleverde hoeveelheden per leverancier worden slechts 1 keer per jaar opgevraagd met betrekking tot het voorbije kalenderjaar. De statistieken hebben enkel betrekking op het Vlaamse grondgebied en beperken zich tot de activiteiten op het distributienet, gedefinieerd als het net met een nominale spanning lager dan of gelijk aan 70 kV."",De toegangspunten die door Inter-energa (voorheen Interelectra) in het verleden toegekend werden aan een exclusief nachtmeter worden niet opgenomen in de statistieken. In theorie kunnen deze gezinnen weliswaar een andere leverancier kiezen voor levering aan de exclusief nachtmeter. In de praktijk zal dit meestal niet gebeuren.,Tabel 1: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal eindafnemers elektriciteit (toegangspunten),Tabel 2: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal AMR elektriciteitsafnemers (toegangspunten),AMR staat voor automated meter read. Het betreft de grootste elektriciteitsafnemers van wie de meterstanden dagelijks van op afstand worden uitgelezen. Een speciaal aangepaste meter houdt voor elektriciteit het verbruik bij per kwartier en voor gas per uur. Er is hierbij geen tussenkomst van een meteropnemer nodig.,Tabel 3: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal MMR elektriciteitsafnemers (toegangspunten),MMR staat voor monthly meter read. Het betreft de elektriciteitsafnemers van wie de meterstanden maandelijks worden uitgelezen. Meestal is hiervoor de tussenkomst van een meteropnemer nodig.,""Tabel 4: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, professionele elektriciteitsafnemers (toegangspunten)"",""Tabel 5: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, huishoudelijke elektriciteitsafnemers (toegangspunten)"""

textbox34,LeverancierNaam,Color1,DatumID,Percentage
"Leverancier,Eneco België BV,1,jul 2015,""3,87%"""
"Leverancier,Eneco België BV,1,jun 2015,""3,86%"""
"Leverancier,Eneco België BV,1,mei 2015,""3,86%"""
"Leverancier,Eneco België BV,1,apr 2015,""3,95%"""
"Leverancier,Eneco België BV,1,mrt 2015,""3,97%"""
"Leverancier,Eneco België BV,1,feb 2015,""3,99%"""
"Leverancier,Eneco België BV,1,jan 2015,""4,09%"""
"Leverancier,Netbeheerder,0,dec 2015,""2,40%"""
"Leverancier,Netbeheerder,0,nov 2015,""2,39%"""
"Leverancier,Netbeheerder,0,okt 2015,""2,39%"""
"Leverancier,Netbeheerder,0,sep 2015,""2,40%"""
"Leverancier,Netbeheerder,0,aug 2015,""2,39%"""
"Leverancier,Netbeheerder,0,jul 2015,""2,39%"""
"Leverancier,Netbeheerder,0,jun 2015,""2,37%"""
"Leverancier,Netbeheerder,0,mei 2015,""2,38%"""
"Leverancier,Netbeheerder,0,apr 2015,""2,39%"""
"Leverancier,Netbeheerder,0,mrt 2015,""2,42%"""
"Leverancier,Netbeheerder,0,feb 2015,""2,46%"""
"Leverancier,Netbeheerder,0,jan 2015,""2,48%"""
"Leverancier,OCTA+ Energie NV,1,dec 2015,""1,44%"""
"Leverancier,OCTA+ Energie NV,1,nov 2015,""1,45%"""
"Leverancier,OCTA+ Energie NV,1,okt 2015,""1,45%"""
"Leverancier,OCTA+ Energie NV,1,sep 2015,""1,45%"""
"Leverancier,OCTA+ Energie NV,1,aug 2015,""1,45%"""
"Leverancier,OCTA+ Energie NV,1,jul 2015,""1,48%"""
"Leverancier,OCTA+ Energie NV,1,jun 2015,""1,48%"""
"Leverancier,OCTA+ Energie NV,1,mei 2015,""1,52%"""
"Leverancier,OCTA+ Energie NV,1,apr 2015,""1,73%"""
"Leverancier,OCTA+ Energie NV,1,mrt 2015,""1,73%"""
"Leverancier,OCTA+ Energie NV,1,feb 2015,""1,72%"""
"Leverancier,OCTA+ Energie NV,1,jan 2015,""1,73%"""
"Leverancier,Ecopower CVBA,0,dec 2015,""1,24%"""
"Leverancier,Ecopower CVBA,0,nov 2015,""1,24%"""
"Leverancier,Ecopower CVBA,0,okt 2015,""1,24%"""
"Leverancier,Ecopower CVBA,0,sep 2015,""1,24%"""
"Leverancier,Ecopower CVBA,0,aug 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,jul 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,jun 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,mei 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,apr 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,mrt 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,feb 2015,""1,23%"""
"Leverancier,Ecopower CVBA,0,jan 2015,""1,23%"""
"Leverancier,Elegant BVBA,1,dec 2015,""0,72%"""
"Leverancier,Elegant BVBA,1,nov 2015,""0,72%"""
"Leverancier,Elegant BVBA,1,okt 2015,""0,72%"""
"Leverancier,Elegant BVBA,1,sep 2015,""0,72%"""
"Leverancier,Elegant BVBA,1,aug 2015,""0,71%"""
"Leverancier,Elegant BVBA,1,jul 2015,""0,72%"""
"Leverancier,Elegant BVBA,1,jun 2015,""0,71%"""
"Leverancier,Elegant BVBA,1,mei 2015,""0,71%"""
"Leverancier,Elegant BVBA,1,apr 2015,""0,71%"""
"Leverancier,Elegant BVBA,1,mrt 2015,""0,71%"""
"Leverancier,Elegant BVBA,1,feb 2015,""0,60%"""
"Leverancier,Elegant BVBA,1,jan 2015,""0,46%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,dec 2015,""0,31%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,nov 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,okt 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,sep 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,aug 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,jul 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,jun 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,mei 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,apr 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,mrt 2015,""0,33%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,feb 2015,""0,32%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,0,jan 2015,""0,32%"""
"Leverancier,Watz BVBA,1,dec 2015,""0,23%"""
"Leverancier,Watz BVBA,1,nov 2015,""0,23%"""
"Leverancier,Watz BVBA,1,okt 2015,""0,21%"""
"Leverancier,Watz BVBA,1,sep 2015,""0,20%"""
"Leverancier,Watz BVBA,1,aug 2015,""0,20%"""
"Leverancier,Watz BVBA,1,jul 2015,""0,19%"""
"Leverancier,Watz BVBA,1,jun 2015,""0,19%"""
"Leverancier,Watz BVBA,1,mei 2015,""0,18%"""
"Leverancier,Watz BVBA,1,apr 2015,""0,18%"""
"Leverancier,Watz BVBA,1,mrt 2015,""0,18%"""
"Leverancier,Watz BVBA,1,feb 2015,""0,17%"""
"Leverancier,Watz BVBA,1,jan 2015,""0,17%"""
"Leverancier,Vlaams Energiebedrijf NV,0,dec 2015,""0,23%"""
"Leverancier,Vlaams Energiebedrijf NV,0,nov 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,okt 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,sep 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,aug 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,jul 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,jun 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,mei 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,apr 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,mrt 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,feb 2015,""0,18%"""
"Leverancier,Vlaams Energiebedrijf NV,0,jan 2015,""0,18%"""
"Leverancier,Total Gas&Power Belgium NV,1,dec 2015,""0,21%"""
"Leverancier,Total Gas&Power Belgium NV,1,nov 2015,""0,15%"""
"Leverancier,Total Gas&Power Belgium NV,1,okt 2015,""0,13%"""
"Leverancier,Total Gas&Power Belgium NV,1,sep 2015,""0,10%"""
"Leverancier,Total Gas&Power Belgium NV,1,aug 2015,""0,07%"""
"Leverancier,Total Gas&Power Belgium NV,1,jul 2015,""0,04%"""
"Leverancier,Total Gas&Power Belgium NV,1,jun 2015,""0,03%"""
"Leverancier,Total Gas&Power Belgium NV,1,mei 2015,""0,02%"""
"Leverancier,Total Gas&Power Belgium NV,1,apr 2015,""0,01%"""
Leverancier,Total Gas&Power Belgium NV,1,mrt 2015,
Leverancier,Total Gas&Power Belgium NV,1,feb 2015,
Leverancier,Total Gas&Power Belgium NV,1,jan 2015,
"Leverancier,Belpower International NV,0,dec 2015,""0,18%"""
"Leverancier,Belpower International NV,0,nov 2015,""0,19%"""
"Leverancier,Belpower International NV,0,okt 2015,""0,19%"""
"Leverancier,Belpower International NV,0,sep 2015,""0,19%"""
"Leverancier,Belpower International NV,0,aug 2015,""0,19%"""
"Leverancier,Belpower International NV,0,jul 2015,""0,19%"""
"Leverancier,Belpower International NV,0,jun 2015,""0,19%"""
"Leverancier,Belpower International NV,0,mei 2015,""0,19%"""
"Leverancier,Belpower International NV,0,apr 2015,""0,20%"""
"Leverancier,Belpower International NV,0,mrt 2015,""0,20%"""
"Leverancier,Belpower International NV,0,feb 2015,""0,20%"""
"Leverancier,Belpower International NV,0,jan 2015,""0,21%"""
"Leverancier,Power Online NV,1,dec 2015,""0,16%"""
"Leverancier,Power Online NV,1,nov 2015,""0,16%"""
"Leverancier,Power Online NV,1,okt 2015,""0,16%"""
"Leverancier,Power Online NV,1,sep 2015,""0,16%"""
"Leverancier,Power Online NV,1,aug 2015,""0,16%"""
"Leverancier,Power Online NV,1,jul 2015,""0,16%"""
"Leverancier,Power Online NV,1,jun 2015,""0,16%"""
"Leverancier,Power Online NV,1,mei 2015,""0,14%"""
"Leverancier,Power Online NV,1,apr 2015,""0,09%"""
"Leverancier,Power Online NV,1,mrt 2015,""0,09%"""
"Leverancier,Power Online NV,1,feb 2015,""0,07%"""
"Leverancier,Power Online NV,1,jan 2015,""0,02%"""
"Leverancier,Direct Energie Belgium NV,0,dec 2015,""0,16%"""
"Leverancier,Direct Energie Belgium NV,0,nov 2015,""0,13%"""
"Leverancier,Direct Energie Belgium NV,0,okt 2015,""0,10%"""
"Leverancier,Direct Energie Belgium NV,0,sep 2015,""0,08%"""
"Leverancier,Direct Energie Belgium NV,0,aug 2015,""0,07%"""
"Leverancier,Direct Energie Belgium NV,0,jul 2015,""0,04%"""
"Leverancier,Direct Energie Belgium NV,0,jun 2015,""0,02%"""
"Leverancier,Direct Energie Belgium NV,0,mei 2015,""< 0,01%"""
"Leverancier,Direct Energie Belgium NV,0,apr 2015,""< 0,01%"""
"Leverancier,Direct Energie Belgium NV,0,mrt 2015,""0,00%"""
"Leverancier,Direct Energie Belgium NV,0,feb 2015,""0,00%"""
"Leverancier,Direct Energie Belgium NV,0,jan 2015,""0,00%"""
"Leverancier,Elexys NV,1,dec 2015,""0,13%"""
"Leverancier,Elexys NV,1,nov 2015,""0,13%"""
